,edit_count,sentiment,neg_sentiment
2017-05-21,5.166666666666667,-0.19295962221780832,0.41753269243465324
2017-05-22,5.366666666666666,-0.18708269961038643,0.4133660257679866
2017-05-23,5.266666666666667,-0.13845782346883828,0.38836602576798657
2017-05-24,5.066666666666666,-0.160161961456399,0.38281047021243103
2017-05-25,5.2,-0.17288114601399585,0.3898811772831381
2017-05-26,5.8,-0.17626457585917,0.40654784394980475
2017-05-27,6.2,-0.1700112077382429,0.40141963882159964
2017-05-28,6.366666666666666,-0.16859629256399708,0.40003074993271076
2017-05-29,6.333333333333333,-0.17251325285638938,0.40003074993271076
2017-05-30,6.5,-0.18245471354529827,0.4200307499327108
2017-05-31,6.6,-0.200650259715374,0.43669741659937744
2017-06-01,6.733333333333333,-0.15198417073692452,0.4100307499327107
2017-06-02,6.833333333333333,-0.14730702141462668,0.42114186104382184
2017-06-03,6.766666666666667,-0.17853336234429384,0.42114186104382184
2017-06-04,7.2,-0.1928943966397916,0.4442187841207449
2017-06-05,7.5,-0.21217876994083848,0.47014471004667086
2017-06-06,7.633333333333334,-0.228734980756745,0.4951447100466709
2017-06-07,7.733333333333333,-0.1992448640214456,0.4784780433800042
2017-06-08,8.166666666666666,-0.23252885800532566,0.5118113767133375
2017-06-09,8.166666666666666,-0.23252885800532566,0.5118113767133375
2017-06-10,8.3,-0.24920071226290927,0.5368113767133376
2017-06-11,8.466666666666667,-0.2604239740166273,0.5568113767133376
2017-06-12,8.2,-0.27342766465675894,0.5634780433800042
2017-06-13,8.2,-0.2567345355146335,0.5551447100466709
2017-06-14,7.366666666666666,-0.2626024368854826,0.55761384584914
2017-06-15,6.6,-0.2518775875879399,0.5523613205966148
2017-06-16,6.033333333333333,-0.23828801585016426,0.5288319088319089
2017-06-17,5.9,-0.2222195384182312,0.5204985754985755
2017-06-18,5.866666666666666,-0.23395808047166575,0.526054131054131
2017-06-19,5.433333333333334,-0.22537289703461177,0.5055413105413106
2017-06-20,5.3,-0.24804654046468586,0.5188746438746439
2017-06-21,5.566666666666666,-0.23397360120785882,0.5126246438746439
2017-06-22,6.466666666666667,-0.287201047116814,0.5400055962555963
2017-06-23,6.533333333333333,-0.2868228655798216,0.5566722629222629
2017-06-24,6.066666666666666,-0.3081553079429248,0.567783374033374
2017-06-25,5.566666666666666,-0.31593376441892446,0.5733389295889296
2017-06-26,5.133333333333334,-0.29312243153900214,0.5451338013838014
2017-06-27,5.033333333333333,-0.2937728750233879,0.5443004680504681
2017-06-28,4.966666666666667,-0.31871023650219343,0.5443004680504681
2017-06-29,5.3,-0.32264603371670153,0.5487449124949125
2017-06-30,5.2,-0.3552427862609457,0.5654115791615791
2017-07-01,5.033333333333333,-0.37059704527507525,0.5587449124949125
2017-07-02,5.166666666666667,-0.38920221204334615,0.5714433251933252
2017-07-03,5.233333333333333,-0.4168218937990478,0.6047766585266585
2017-07-04,5.066666666666666,-0.40448940474411116,0.5983664021164021
2017-07-05,4.8,-0.41843477389059947,0.6057738095238094
2017-07-06,4.833333333333333,-0.4103197839939841,0.6007738095238095
2017-07-07,4.8,-0.39702200248018726,0.5952182539682539
2017-07-08,4.366666666666666,-0.36373800849630716,0.5618849206349206
2017-07-09,4.433333333333334,-0.3639460912914503,0.5785515873015873
2017-07-10,4.3,-0.3472742370338667,0.5535515873015873
2017-07-11,4.266666666666667,-0.35074366575195676,0.5585515873015873
2017-07-12,4.366666666666666,-0.32395042822474523,0.545218253968254
2017-07-13,4.4,-0.3172395667007991,0.540218253968254
2017-07-14,4.333333333333333,-0.28406556751046863,0.5068849206349206
2017-07-15,4.166666666666667,-0.2702120769591558,0.500218253968254
2017-07-16,4.2,-0.2440079399517604,0.500218253968254
2017-07-17,4.366666666666666,-0.2634150432452323,0.5094775132275132
2017-07-18,4.6,-0.26389244532301315,0.5113293650793651
2017-07-19,4.733333333333333,-0.2959719413093158,0.5446626984126984
2017-07-20,4.833333333333333,-0.26708313858225236,0.5279960317460318
2017-07-21,4.566666666666666,-0.2487778565358548,0.5175793650793651
2017-07-22,3.6333333333333333,-0.22763086227434023,0.49019841269841274
2017-07-23,3.8,-0.2518067860532375,0.5021031746031747
2017-07-24,3.8333333333333335,-0.21905376354143732,0.48543650793650794
2017-07-25,3.7666666666666666,-0.2411867297949299,0.49654761904761907
2017-07-26,3.7666666666666666,-0.2411867297949299,0.49654761904761907
2017-07-27,3.6,-0.23269708566485886,0.47654761904761905
2017-07-28,3.6,-0.23269708566485886,0.47654761904761905
2017-07-29,3.2666666666666666,-0.22984819981077362,0.4721031746031746
2017-07-30,3.2333333333333334,-0.19658880206564117,0.43876984126984125
2017-07-31,3.2666666666666666,-0.22914808166642037,0.4721031746031746
2017-08-01,3.2,-0.2229430567201168,0.4682936507936509
2017-08-02,3.6333333333333333,-0.19925976239736118,0.45273809523809533
2017-08-03,3.533333333333333,-0.21530924432570972,0.4627380952380953
2017-08-04,3.7,-0.19553575906252102,0.4516269841269842
2017-08-05,3.8333333333333335,-0.2074251778234565,0.45755291005291004
2017-08-06,3.7666666666666666,-0.1919562751031111,0.446441798941799
2017-08-07,3.8,-0.22512573142609899,0.4797751322751323
2017-08-08,3.8333333333333335,-0.25646613677106206,0.49644179894179896
2017-08-09,3.933333333333333,-0.28517870346468593,0.5297751322751323
2017-08-10,3.933333333333333,-0.28855334510169334,0.5297751322751323
2017-08-11,3.8,-0.3131034452692857,0.5431084656084657
2017-08-12,3.8333333333333335,-0.31649148725564513,0.5453306878306878
2017-08-13,4.066666666666666,-0.31288311686071135,0.5596164021164022
2017-08-14,3.9,-0.31938819851430633,0.5462830687830689
2017-08-15,3.8666666666666667,-0.34559233552170177,0.5462830687830689
2017-08-16,3.7,-0.31575606646755383,0.5286904761904762
2017-08-17,3.533333333333333,-0.3129938345745442,0.5268386243386244
2017-08-18,3.4,-0.2809143385882415,0.493505291005291
2017-08-19,3.3666666666666667,-0.2871533259678455,0.4990608465608466
2017-08-20,3.2333333333333334,-0.3077572417684964,0.5115608465608467
2017-08-21,3.3,-0.30721667830433164,0.5282275132275133
2017-08-22,3.2666666666666666,-0.3049082870568548,0.5274338624338625
2017-08-23,3.433333333333333,-0.3187587483582043,0.5345767195767196
2017-08-24,3.7333333333333334,-0.3045786712425096,0.5279100529100529
2017-08-25,3.9,-0.3261126392937842,0.5545767195767196
2017-08-26,4.0,-0.33972804551559777,0.5767989417989418
2017-08-27,4.2,-0.3420717918730917,0.5934656084656085
2017-08-28,4.2,-0.351177751606419,0.6001322751322752
2017-08-29,4.2,-0.351177751606419,0.6001322751322751
2017-08-30,4.333333333333333,-0.33959263363054826,0.5934656084656085
2017-08-31,4.366666666666666,-0.30992686435816785,0.579021164021164
2017-09-01,3.8666666666666667,-0.3059904769252217,0.5612433862433862
2017-09-02,3.7333333333333334,-0.3211529130926208,0.567910052910053
2017-09-03,3.533333333333333,-0.3076966559082743,0.5456878306878307
2017-09-04,3.3,-0.3192256257127202,0.5530952380952381
2017-09-05,3.2666666666666666,-0.3441629871915257,0.5530952380952381
2017-09-06,3.3333333333333335,-0.34406357061768333,0.5530952380952381
2017-09-07,3.2666666666666666,-0.3457371458600438,0.5530952380952381
2017-09-08,3.7,-0.3418023077339407,0.5489285714285714
2017-09-09,3.6333333333333333,-0.3568374989122625,0.5572619047619047
2017-09-10,3.6333333333333333,-0.3431488948752956,0.5572619047619047
2017-09-11,3.533333333333333,-0.3220244719939573,0.5461507936507937
2017-09-12,3.3,-0.32563284238889106,0.5318650793650794
2017-09-13,3.6333333333333333,-0.33842536807769824,0.5551984126984127
2017-09-14,3.8333333333333335,-0.35994305478911554,0.5829761904761904
2017-09-15,3.8333333333333335,-0.3723314391313091,0.5913095238095238
2017-09-16,3.7666666666666666,-0.37493381765863254,0.5913095238095238
2017-09-17,3.933333333333333,-0.4069518350301281,0.6246428571428572
